Serial, 1_Thread_ReadWriteLock, 2_Thread_ReadWriteLock, 4_Thread_ReadWriteLock, 8_Thread_ReadWriteLock, 1_Thread_Mutex, 2_Thread_Mutex, 4_Thread_Mutex, 8_Thread_Mutex
0.028000, 0.024000, 0.029000, 0.023000,0.021000, 0.029000, 0.030000, 0.022000, 0.024000
0.029000, 0.026000, 0.031000, 0.023000,0.019000, 0.027000, 0.026000, 0.020000, 0.022000
0.025000, 0.027000, 0.033000, 0.024000,0.020000, 0.029000, 0.028000, 0.020000, 0.023000
0.025000, 0.026000, 0.030000, 0.024000,0.020000, 0.028000, 0.026000, 0.023000, 0.023000
0.024000, 0.028000, 0.029000, 0.021000,0.023000, 0.027000, 0.025000, 0.026000, 0.019000
0.028000, 0.075000, 0.032000, 0.026000,0.022000, 0.027000, 0.033000, 0.025000, 0.021000
0.026000, 0.027000, 0.030000, 0.022000,0.020000, 0.029000, 0.031000, 0.022000, 0.022000
0.028000, 0.026000, 0.029000, 0.023000,0.024000, 0.028000, 0.028000, 0.019000, 0.021000
0.025000, 0.026000, 0.031000, 0.028000,0.023000, 0.027000, 0.032000, 0.022000, 0.021000
0.029000, 0.027000, 0.029000, 0.025000,0.020000, 0.031000, 0.030000, 0.022000, 0.024000
0.025000, 0.028000, 0.026000, 0.024000,0.020000, 0.028000, 0.025000, 0.021000, 0.020000
0.026000, 0.024000, 0.026000, 0.023000,0.020000, 0.025000, 0.033000, 0.024000, 0.018000
0.026000, 0.029000, 0.027000, 0.023000,0.019000, 0.027000, 0.029000, 0.021000, 0.025000
0.028000, 0.024000, 0.030000, 0.021000,0.020000, 0.025000, 0.030000, 0.021000, 0.023000
0.026000, 0.026000, 0.031000, 0.020000,0.019000, 0.029000, 0.031000, 0.021000, 0.021000
0.028000, 0.025000, 0.028000, 0.021000,0.019000, 0.027000, 0.027000, 0.022000, 0.022000
0.025000, 0.029000, 0.028000, 0.021000,0.024000, 0.030000, 0.029000, 0.027000, 0.022000
0.024000, 0.027000, 0.030000, 0.023000,0.023000, 0.028000, 0.031000, 0.020000, 0.023000
0.026000, 0.031000, 0.029000, 0.022000,0.022000, 0.026000, 0.026000, 0.023000, 0.020000
0.025000, 0.030000, 0.030000, 0.024000,0.024000, 0.025000, 0.029000, 0.024000, 0.020000
0.026000, 0.029000, 0.032000, 0.022000,0.022000, 0.028000, 0.026000, 0.025000, 0.022000
0.027000, 0.027000, 0.026000, 0.024000,0.019000, 0.028000, 0.029000, 0.024000, 0.017000
0.026000, 0.031000, 0.026000, 0.025000,0.023000, 0.023000, 0.029000, 0.022000, 0.021000
0.024000, 0.024000, 0.030000, 0.025000,0.020000, 0.026000, 0.031000, 0.022000, 0.022000
0.027000, 0.028000, 0.028000, 0.023000,0.019000, 0.030000, 0.026000, 0.021000, 0.020000
0.030000, 0.027000, 0.032000, 0.024000,0.018000, 0.028000, 0.028000, 0.022000, 0.023000
0.025000, 0.026000, 0.028000, 0.022000,0.021000, 0.027000, 0.028000, 0.024000, 0.019000
0.024000, 0.027000, 0.028000, 0.024000,0.020000, 0.024000, 0.028000, 0.021000, 0.019000
0.026000, 0.023000, 0.027000, 0.025000,0.021000, 0.028000, 0.029000, 0.021000, 0.022000
0.025000, 0.025000, 0.030000, 0.025000,0.019000, 0.031000, 0.026000, 0.022000, 0.022000
0.025000, 0.027000, 0.029000, 0.021000,0.021000, 0.027000, 0.025000, 0.024000, 0.020000
0.028000, 0.032000, 0.029000, 0.023000,0.023000, 0.024000, 0.028000, 0.024000, 0.018000
0.027000, 0.025000, 0.028000, 0.023000,0.020000, 0.027000, 0.028000, 0.023000, 0.020000
0.027000, 0.025000, 0.027000, 0.024000,0.024000, 0.024000, 0.030000, 0.025000, 0.020000
0.031000, 0.029000, 0.027000, 0.023000,0.019000, 0.025000, 0.030000, 0.025000, 0.018000
0.030000, 0.025000, 0.027000, 0.024000,0.019000, 0.032000, 0.030000, 0.022000, 0.024000
0.027000, 0.026000, 0.056000, 0.029000,0.022000, 0.028000, 0.031000, 0.026000, 0.020000
0.026000, 0.026000, 0.029000, 0.023000,0.023000, 0.028000, 0.027000, 0.025000, 0.019000
0.028000, 0.025000, 0.027000, 0.026000,0.025000, 0.024000, 0.031000, 0.022000, 0.020000
0.030000, 0.026000, 0.027000, 0.021000,0.020000, 0.032000, 0.026000, 0.027000, 0.019000
0.026000, 0.025000, 0.027000, 0.025000,0.022000, 0.026000, 0.029000, 0.026000, 0.019000
0.027000, 0.027000, 0.026000, 0.025000,0.018000, 0.026000, 0.030000, 0.021000, 0.021000
0.028000, 0.027000, 0.029000, 0.024000,0.019000, 0.024000, 0.030000, 0.022000, 0.022000
0.029000, 0.026000, 0.029000, 0.022000,0.020000, 0.026000, 0.030000, 0.027000, 0.023000
0.030000, 0.025000, 0.029000, 0.027000,0.024000, 0.029000, 0.038000, 0.027000, 0.020000
0.032000, 0.033000, 0.032000, 0.025000,0.022000, 0.031000, 0.031000, 0.027000, 0.025000
0.027000, 0.031000, 0.029000, 0.025000,0.022000, 0.028000, 0.032000, 0.023000, 0.020000
0.026000, 0.030000, 0.031000, 0.029000,0.026000, 0.031000, 0.036000, 0.026000, 0.030000
0.029000, 0.038000, 0.044000, 0.033000,0.022000, 0.027000, 0.030000, 0.022000, 0.027000
0.030000, 0.030000, 0.031000, 0.024000,0.027000, 0.032000, 0.036000, 0.028000, 0.025000
0.028000, 0.027000, 0.032000, 0.027000,0.022000, 0.025000, 0.037000, 0.044000, 0.024000
0.028000, 0.028000, 0.051000, 0.039000,0.032000, 0.043000, 0.041000, 0.033000, 0.027000
0.040000, 0.037000, 0.034000, 0.025000,0.027000, 0.033000, 0.040000, 0.031000, 0.022000
0.032000, 0.031000, 0.031000, 0.023000,0.024000, 0.027000, 0.030000, 0.031000, 0.025000
0.026000, 0.032000, 0.028000, 0.027000,0.020000, 0.037000, 0.034000, 0.028000, 0.022000
0.026000, 0.030000, 0.031000, 0.029000,0.023000, 0.028000, 0.030000, 0.024000, 0.020000
0.026000, 0.026000, 0.031000, 0.024000,0.022000, 0.029000, 0.028000, 0.022000, 0.022000
0.030000, 0.033000, 0.027000, 0.028000,0.020000, 0.028000, 0.031000, 0.025000, 0.023000
0.029000, 0.026000, 0.031000, 0.027000,0.022000, 0.032000, 0.034000, 0.028000, 0.027000
0.028000, 0.029000, 0.034000, 0.027000,0.021000, 0.030000, 0.028000, 0.026000, 0.021000
0.030000, 0.034000, 0.029000, 0.027000,0.023000, 0.026000, 0.031000, 0.027000, 0.027000
0.025000, 0.031000, 0.030000, 0.025000,0.022000, 0.030000, 0.039000, 0.025000, 0.056000
0.045000, 0.027000, 0.034000, 0.039000,0.032000, 0.031000, 0.034000, 0.027000, 0.025000
0.027000, 0.029000, 0.034000, 0.025000,0.023000, 0.031000, 0.027000, 0.031000, 0.024000
0.028000, 0.028000, 0.033000, 0.030000,0.022000, 0.030000, 0.035000, 0.022000, 0.024000
0.029000, 0.033000, 0.030000, 0.028000,0.024000, 0.029000, 0.031000, 0.026000, 0.025000
0.035000, 0.026000, 0.031000, 0.026000,0.022000, 0.030000, 0.029000, 0.029000, 0.023000
0.031000, 0.031000, 0.030000, 0.026000,0.023000, 0.029000, 0.026000, 0.031000, 0.020000
0.024000, 0.032000, 0.033000, 0.025000,0.023000, 0.028000, 0.030000, 0.022000, 0.023000
0.029000, 0.025000, 0.029000, 0.024000,0.019000, 0.029000, 0.026000, 0.025000, 0.023000
0.025000, 0.030000, 0.032000, 0.025000,0.025000, 0.038000, 0.048000, 0.031000, 0.033000
0.032000, 0.030000, 0.030000, 0.026000,0.024000, 0.030000, 0.033000, 0.024000, 0.024000
0.028000, 0.029000, 0.029000, 0.024000,0.024000, 0.031000, 0.031000, 0.026000, 0.024000
0.028000, 0.034000, 0.032000, 0.026000,0.025000, 0.031000, 0.031000, 0.032000, 0.025000
0.026000, 0.028000, 0.030000, 0.029000,0.022000, 0.028000, 0.031000, 0.023000, 0.025000
0.025000, 0.027000, 0.028000, 0.025000,0.020000, 0.031000, 0.028000, 0.027000, 0.020000
0.030000, 0.026000, 0.028000, 0.027000,0.022000, 0.025000, 0.029000, 0.021000, 0.019000
0.026000, 0.025000, 0.025000, 0.021000,0.017000, 0.024000, 0.025000, 0.021000, 0.017000
0.024000, 0.024000, 0.024000, 0.021000,0.018000, 0.023000, 0.023000, 0.020000, 0.018000
0.027000, 0.032000, 0.026000, 0.022000,0.018000, 0.024000, 0.029000, 0.027000, 0.018000
0.027000, 0.025000, 0.026000, 0.022000,0.019000, 0.035000, 0.025000, 0.022000, 0.022000
0.025000, 0.026000, 0.028000, 0.021000,0.024000, 0.027000, 0.028000, 0.022000, 0.022000
0.024000, 0.028000, 0.030000, 0.023000,0.021000, 0.024000, 0.032000, 0.026000, 0.026000
